Name,ObsID,RA_deg,Dec_deg,z,Class,Flux_0p5_4p5,Log_Lx,SCID,Bmag,Rmag,BR_color
XWAS J004329.2-202839,X03246_00095,10.871875000000001,-20.47761111111111,0.296,NELG,18.3,43.71,283794259182569,18.0,19.15,-1.1499999999999986
XWAS J004338.1-202408,X03246_00103,10.908958333333334,-20.40197222222222,1.049,BLAGN,11.0,44.8,283794259186789,18.93,20.11,-1.1799999999999997
XWAS J004343.2-202525,X03246_00102,10.9305,-20.423750000000002,0.914,BLAGN,5.8,44.38,283794259185558,21.43,21.53,-0.10000000000000142
XWAS J004343.5-203536,X03246_00068,10.931625,-20.59375,0.681,BLAGN,8.9,44.25,283794259175494,21.46,21.38,0.08000000000000185
XWAS J004345.8-202955,X03246_00092,10.941458333333333,-20.499083333333335,0.502,NELG,1.3,43.08,283794259181326,20.08,23.17,-3.0900000000000034
XWAS J004347.7-202233,X03246_00105,10.949458333333332,-20.37627777777778,0.665,BLAGN,9.8,44.26,283794259188318,19.24,19.24,0.0
XWAS J004355.8-203742,X03246_00046,10.982708333333335,-20.628555555555558,1.169,BLAGN,0.9,43.84,283794259173284,21.78,,
XWAS J004358.7-203500,X03246_00071,10.994416666666668,-20.58375,1.777,BLAGN,1.4,44.5,283794259176109,21.26,,
XWAS J004409.9-204553,X03246_00008,11.042374999999998,-20.764194444444446,1.25,BLAGN,0.8,43.85,283794259164882,20.51,21.68,-1.1699999999999982
XWAS J004618.7-203406,X00917_00147,11.577416666666666,-20.569583333333334,0.702,BLAGN,3.1,43.83,283794259176987,20.13,21.64,-1.5100000000000016
XWAS J004628.6-205005,X00917_00029,11.6195,-20.83458333333333,1.713,BLAGN,3.1,44.79,283794259160705,20.81,22.04,-1.2300000000000004
XWAS J004633.8-205410,X00917_00012,11.641458333333334,-20.903027777777776,0.292,NELG,2.4,42.81,283794259156617,19.01,20.55,-1.5399999999999991
XWAS J004635.2-203651,X00917_00133,11.647000000000002,-20.614194444444447,0.328,BLAGN,9.5,43.53,283794259174176,18.82,20.61,-1.7899999999999991
XWAS J004647.6-203839,X00917_00122,11.698916666666667,-20.644027777777776,0.866,BLAGN,2.8,44.0,283794259172370,20.79,22.0,-1.2100000000000009
XWAS J004651.9-203324,X00917_00151,11.716666666666669,-20.556444444444445,0.327,NELG,2.2,42.89,283794259177799,18.91,21.55,-2.6400000000000006
